t,foot_x,foot_y,foot_z,foot_vx_true,foot_vy_true,foot_vz_true,foot_vx_est,foot_vy_est,foot_vz_est,contact_normal_force,hip_tau,knee_tau,hybrid_state,hybrid_state_id,joint1_pos,joint1_vel_true,joint2_pos,joint2_vel_true,joint3_pos,joint3_vel_true,joint4_pos,joint4_vel_true,joint1_vel_est,joint2_vel_est,joint3_vel_est,joint4_vel_est
2.776999999999805,-0.25743261525611316,-0.6833714332913143,0.11736403350184954,0.2906089259792351,-0.021762217799773803,-0.4546798829140687,-0.0037877057475323,0.0019989397175207892,-6.526155380401068e-05,0.0,0.21121022700923697,-0.431656204210968,FLIGHT,0,1.1435247585798087,0.35823990086168506,-0.06973858934062069,0.6295681239146421,0.2295571241968606,0.04037163315692191,-0.4302009664654175,-0.013576250467693287,nan,nan,-0.01598846179990325,-0.002370103249393371
2.777999999999805,-0.2571416096008646,-0.6833929726769121,0.11690836249808728,0.2914012469984726,-0.021315268008130994,-0.4566620350508089,-0.0037324096380208006,0.00196807160696428,-6.443604552034622e-05,0.0,0.21025697753949285,-0.4318319623644508,FLIGHT,0,1.1438828683738973,0.3579801115974594,-0.0691075509210388,0.6325080959847964,0.22959933493679285,0.04403818364148356,-0.43021494052839243,-0.014365584156585088,nan,nan,-0.015752179113205173,-0.002335077092998395
2.778999999999805,-0.2568498253715116,-0.6834140558993279,0.11645071055507458,0.292166129677761,-0.020849921032451313,-0.45864175271435936,-0.0036779194938111144,0.0019376781404535572,-6.363303898702824e-05,0.0,0.20924126710492214,-0.43202667859466415,FLIGHT,0,1.1442407226824918,0.35772890778651345,-0.06847357659536535,0.6354399561759119,0.2296451199815619,0.047520765460258005,-0.43022968600325334,-0.015119324754144481,nan,nan,-0.015519388288872091,-0.0023005685645304387
2.779999999999805,-0.2565572905001325,-0.6834346643079132,0.1159910802124374,0.2929025891691993,-0.020365671693269735,-0.4606188263521271,-0.003624223586149737,0.0019077521476814417,-6.285122135579529e-05,0.0,0.20816629536629985,-0.43223938317031435,FLIGHT,0,1.1445983302079468,0.35748652257147095,-0.06783667454173628,0.638363572258594,0.22969429366279742,0.05081598766204492,-0.43024516859168965,-0.015840054175873287,nan,nan,-0.015290037723026692,-0.002266570014315703
2.7809999999998047,-0.25626403385948976,-0.6834547787719728,0.1155294742123654,0.29360972876074615,-0.01986206494778349,-0.4625930603647035,-0.003571310354350717,0.0018782865629414793,-6.208931499361819e-05,0.0,0.20703535485818594,-0.43246904103485095,FLIGHT,0,1.1449556998734494,0.35725316453591505,-0.06719685306272809,0.6412788275417984,0.22974666712731542,0.053920870511703016,-0.43026135652104075,-0.01653024192049477,nan,nan,-0.015064076574410534,-0.0022330739057297567
2.7819999999998046,-0.2559700851742338,-0.6834743797311347,0.11506589548547921,0.2942867411987209,-0.019338696352740048,-0.4645642734586731,-0.0035191684037287297,0.001849274423499863,-6.134607912208764e-05,0.0,0.20585182205081343,-0.43271455661702923,FLIGHT,0,1.1453128407983568,0.35702901750032473,-0.06655412056977515,0.6441856209615608,0.22980204874928647,0.05683284739222489,-0.43027822042877356,-0.017192238886084774,nan,nan,-0.014841454753113827,-0.002200072813526854
2.7829999999998045,-0.2556754749309061,-0.6834934472461073,0.11460034713637879,0.29493290975437997,-0.018795212378470372,-0.4665322989346103,-0.003467786503541748,0.0018207088680073243,-6.0620311290953733e-05,0.0,0.20461914831326897,-0.4329747787499268,FLIGHT,0,1.1456697622733654,0.3568142403847286,-0.06590848556751544,0.6470838671358734,0.22986024454383164,0.0595497657602449,-0.4302957332411091,-0.017828271850093017,nan,nan,-0.014622122909471751,-0.0021675594221939446
2.7839999999998044,-0.2553816592380499,-0.683511261384559,0.11413284349580266,0.2926973763666806,-0.01683247527203964,-0.4684750276559531,0.023144974126586816,-0.01194914377931109,0.0015352486352721538,0.0,0.042777613422118554,-0.43324850568184503,FLIGHT,0,1.1460269231325968,0.35750541556989646,-0.06526032306487896,0.6492428089292349,0.2299115488302096,0.04310675458690064,-0.4303116392646774,-0.01400961770260856,nan,nan,0.10910415017665707,-0.0021355265243290095
2.7849999999998043,-0.2550900579691,-0.6835271219288379,0.11366340045969361,0.2905102568988424,-0.014890742648422065,-0.4704100404390475,0.022806614123040678,-0.01176511539425436,0.0015133775968645727,0.0,0.04399808218355131,-0.4334875443252431,FLIGHT,0,1.146384765832106,0.3581779711986102,-0.0646099937253761,0.6514174964077389,0.2299466287168236,0.027099664041085297,-0.4303238386282711,-0.010413818756847333,nan,nan,0.10749177357306115,-0.002103967019043359
2.785999999999804,-0.25480061689322886,-0.6835410526711786,0.11319202583703283,0.288376912657253,-0.01297283071434134,-0.4723382270644739,0.022473220492279067,-0.011583969373668212,0.001491485346306794,0.0,0.045475376818476826,-0.4336442840101916,FLIGHT,0,1.1467432711039078,0.3588306134215842,-0.06395748139237879,0.653608749037213,0.229965930306519,0.01154880798071021,-0.43033254809673344,-0.007028726176523092,nan,nan,0.10590322519513413,-0.0020728739103875455
2.786999999999804,-0.2545132796500295,-0.6835530787848316,0.11271872601641886,0.28630250136026475,-0.011081436405411274,-0.47426046126553567,0.022144718988506805,-0.0114056578897748,0.0014695899880029983,0.0,0.04720281586289993,-0.4337195192279319,FLIGHT,0,1.1471024184149448,0.3594621057911483,-0.06330276911185599,0.6558173422472652,0.22996991947928216,-0.003526570290109521,-0.4303379723496764,-0.0038423189001619267,nan,nan,0.10433815290160998,-0.0020422403058005375
2.787999999999804,-0.25422798482669823,-0.6835632280781765,0.11224350652147921,0.2842919704627404,-0.009219133317948908,-0.47617759936275045,0.021821036560441296,-0.011230133942507967,0.001447709454245441,0.0,0.049173389634898146,-0.43371426140966873,FLIGHT,0,1.1474621860251288,0.3600712705389049,-0.06264583917680971,0.6580440066373211,0.2299590808138711,-0.018108313625241547,-0.43034030412292756,-0.0008427308728861005,nan,nan,0.10279620975528077,-0.0020120594145818104
2.788999999999804,-0.2539446661737803,-0.6835715308686856,0.11176637202921624,0.28235004621181764,-0.007388366319756409,-0.4780904783865825,0.02150210132833302,-0.01105735135036249,0.001425861454536962,0.0,0.05137961915105935,-0.43362983839165375,FLIGHT,0,1.147822551047151,0.360656990833753,-0.06198667317275596,0.6602894266819261,0.22993391648695546,-0.032179380382967776,-0.43033972438251056,0.0019817111535080385,nan,nan,0.10127705394608942,-0.00198232454638602
2.7899999999998037,-0.2536632528314841,-0.6835780198517113,0.11128732639021738,0.2804812234614794,-0.005591446605403325,-0.4799999142300834,0.021187842561445156,-0.010887264741018232,0.0014040634275845636,0.0,0.05381357908040407,-0.4334678829841228,FLIGHT,0,1.1481834895084648,0.3612182128736438,-0.06132525202443047,0.6625542395755273,0.22989494514428854,-0.045723871022620925,-0.43033640253542826,0.004642451810215647,nan,nan,0.09978034871535904,-0.0019530291097399211
2.7909999999998036,-0.253383669565796,-0.6835827299645578,0.11080637265069526,0.2786897562644785,-0.0038305472029483145,-0.48190669983204737,0.02087819065598914,-0.01071982954174254,0.001382332496007881,0.0,0.056466921553406935,-0.43323032079369306,FLIGHT,0,1.148544976415279,0.36175394780746184,-0.06066155604357888,0.6648390342185856,0.22984270074668112,-0.05872705191045681,-0.4303304966752295,0.007150673348436171,nan,nan,0.0983057622811419,-0.0019241666105812032
2.7919999999998035,-0.25310583701360234,-0.6835856982462902,0.1103235130763312,0.2769796492575274,-0.0021076989377012273,-0.4838116033922374,0.020573077113510797,-0.010555001969574448,0.0013606854237951142,0.0,0.059330900755167504,-0.43291935735200765,FLIGHT,0,1.1489069858183827,0.3622632734837894,-0.05999556497768938,0.6671443503462628,0.2297777313935851,-0.07117537630098551,-0.4303221538602875,0.009517263973419144,nan,nan,0.09685296776467182,-0.0018957306508189194
